SN,Playback File,Number of Calls
35,110500x_Kazakhistan_ArendWasinck_XC150181 - Hume's Leaf Warbler - Phylloscopus humei humei_4 EDITED,12
36,110500x_Kazakhistan_Patrick Franke_XC120496 - Hume's Leaf Warbler - Phylloscopus humei humei_5 EDITED,18
37,120200x_Bandhavgarh_Hannu_Phylloscopus humei_120211_01_1 EDITED,13
38,120500x_Kazakhistan_ArendWassinck_XC150198 - Hume's Leaf Warbler - Phylloscopus humei humei_2 EDITED,10
39,"121000x_Xinjiang West China_Pholt_Warbler, Hume's Leaf (Xinjiang)(A7241)_3 down sampled EDITED",12
40,"121000x_Xinjiang_Pholt_Warbler, Hume's Leaf (Xinjiang)(A7232)_5 downsampled EDITED",31
41,121100x_Sultanpur_MikeNelson_XC116652 - Hume's Leaf Warbler - Phylloscopus humei humei_8 EDITED,30
42,121221_35 Phylloscopus humie U KNP_Bharatpur Rajasthan_9 EDITED,10
43,140310_35 Phylloscopus humei Bhindawas Haryana_10 EDITED,6
44,140311_15 Phylloscopus humei Bhindawas Haryana_11 EDITED,19
45,140500x_Kazakhistan_AlbertLastukhin_XC184262 - Hume's Leaf Warbler - Phylloscopus humei_4 EDITED,9
46,140900x_Ladakh_Hannu_Phylloscopus humei_140921_02_7 EDITED,12
47,"180000x_Xinjiang_PA_Phylloscopus humei Call Mosuowan, Xinjiang, China XJ2018_1086_6 EDITED",17
48,180100x_Harike_Hannu_Phylloscopus humei 180131_05_16 EDITED,30
49,190205_347457461ML Phylloscopus humei EDITED,32
50,190219_284362ML Phylloscopus humei EDITED,19
51,201026_MIXPRE-3187 Phylloscopus humei WII Dehradun Uttarakhand EDITED,11
52,201127_283225171ML Phylloscopus humei EDITED,11
53,201223_367754341ML Phylloscopus humei EDITED,6
54,210107_295636581ML Phylloscopus humei EDITED,6
55,210114_MIXPRE-3511 Phylloscopus humei EDITED,10
56,210221_MIXPRE-3602 Phylloscopus humei WII Dehradun EDITED,31
57,210305_MIXPRE-3624 Phylloscopus humei EDITED,8
58,210425_MIXPRE-3690 Phylloscopus humei EDITED,29
59,220111_MX661 Phylloscopus humei WII Dehradun EDITED,12
60,220111_MX662 Phylloscopus humei diff ind WII Dehradun EDITED,10
61,220111_MX668 Phylloscopus humei diff ind WII Dehradun EDITED,48
62,220125_MX709 Phylloscopus humei WII Dehradun EDITED,38
63,220223_XC704667 - Hume's Leaf Warbler - Phylloscopus humei EDITED,9
64,220616_MixPre-209 Phylloscopus humei EDITED,6
65,220619_XC738539 - Hume's Leaf Warbler - Phylloscopus humei humei EDITED,23
66,230101_001_Tr1 Phylloscopus humei WII Dehradun Uttarakhand edited,24
67,230205_002_Tr1 Phylloscopus humei WII Dehradun Uttarakhand edited,22
68,230212_011_Tr1 Phylloscopus humei WII Dehradun Uttarakhand edited,33
69,240202_001 Phylloscopus humei Chandrabani Sal Forest Dehradun edited,21
70,241105_XC945927 - Hume's Leaf Warbler - Phylloscopus humei edited,9
